"" ,"License ->Content in this spreadsheet is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International license. Details of the license can be seen here: https://creativecommons.org/licenses/by-nc-sa/4.0","Citation->Recommended citation: India Sand Watch, Veditum India Foundation. Accessed via http://sandwatch.envmonitoring.in on 4/12/2026",
"Title","Would you like to submit this report anonymously?","Date of Observation","Location","Are machines used in the process?","Can you specify types of machines/ equipment","Notes from the location","Pictures","State","District","River","Published Date"
"Chitalghata - Uttar Dinajpur, Mahananda, 2019","N/A","21-02-2019 18:30:00","Serial Number,Latitude,Longitude
1,26.468203,88.256996
","Yes","Unable to specify.","Observed through aerial route and confirmed through remote sensing information for the same period. The situation only worsens post date of observations. Severe mining signs visible in 2022 and 2023.","N/A","West Bengal","Uttar Dinajpur","Mahananda","29-07-2023"
"Matigara - Darjeeling, Balasan River, 2019","N/A","03-03-2019 18:30:00","Serial Number,Latitude,Longitude
1,26.721201,88.375048
","No","N/A","Hundreds of small scale mining efforts - all manual, which is then loaded on to trucks. Not really visible from remote sensing - satellite images. Picture attached below.","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_0050_42608fb8-40fa-4058-979b-f4debfccc7f4.jpeg?generation=1690639533043414&alt=media","West Bengal","Darjiling","Balason","29-07-2023"
"Sevoke - Darjeeling, Teesta River, 2019","N/A","04-03-2019 18:30:00","Serial Number,Latitude,Longitude
1,26.886512,88.476403
","Yes","Trucks and JCB Extractors","Machines were being used to extract riverbed material. In this case it was largely stone mining. ","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_0125_240a580f-8572-47d1-b603-4c246c4c2977.jpeg?generation=1690639910535840&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_0127_445cfb0a-5414-46c5-8b14-a4ba6df73026.jpeg?generation=1690639912081311&alt=media","West Bengal","Darjiling","Teesta","29-07-2023"
"Oodlabari - Jalpaiguri, Gish River, 2019","N/A","04-03-2019 18:30:00","Serial Number,Latitude,Longitude
1,26.872018,88.609413
","No","N/A","Multiple small operations at the exact GPS location. Material is collected and then transferred to a nearby processing facility for grading. Other locations + processing centre is in proximity. Signals continue to be visible in later years as well.","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_0156_23815268-9081-4c06-8d7b-11cef1dbc767.jpeg?generation=1690640197967715&alt=media","West Bengal","Jalpaiguri","Gish","29-07-2023"
"Mal - Jalpaiguri, Chel River, 2019","N/A","04-03-2019 18:30:00","Serial Number,Latitude,Longitude
1,26.85531,88.635905
","Yes","Poclain Machines - JCB Excavators, and trucks.","Mining activity observed from bridge. Combination of manual work + excavators. This activity has only grown over the years and is visible in remote sensing imagery from later years. ","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_0158_f704af71-9f7c-4270-9c44-6e32ef689b12.jpeg?generation=1690640652416739&alt=media","West Bengal","Jalpaiguri","chel","29-07-2023"
"Dangapara - Jalpaiguri, Koli River, 2019","N/A","07-03-2019 18:30:00","Serial Number,Latitude,Longitude
1,26.719843,89.10066
","Yes","Poclain machines - JCBs.","This location sees excessive mining of riverbed material. Visible mostly is the gravel and stone  mining. However given the presence of a large number of brick kilns also indicate extraction of clay from the riverbed and nearby areas. ","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_0539_22291b31-a565-4c54-8a0b-632bfea88f52.jpeg?generation=1690641123997726&alt=media","West Bengal","Jalpaiguri","Koli","29-07-2023"
"Paschim Chakchaka - Jalpaiguri, Raidak River, 2019","N/A","12-03-2019 18:30:00","Serial Number,Latitude,Longitude
1,26.719843,89.10066
","Yes","Poclain Machines - JCB excavators.","This location was a combination of manual and machine based excavation.
- Manual excavation was being done by workers both on exposed river islands and floodplains as well as by diving underwater to extract riverbed material from the river itself.
- At a distance, machine based excavation was also visible. ","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_0853_3feb956a-fea3-4cfe-8c21-011b22ddfa2c.jpeg?generation=1690641529449541&alt=media","West Bengal","Jalpaiguri","Raidak","29-07-2023"
"Najiran Deutikhanda - Cooch Behar, Sankosh River, 2019","N/A","12-03-2019 18:30:00","Serial Number,Latitude,Longitude
1,26.463822,89.85844
","Yes","Poclain machines - excavators + trucks ","Excavators were being used to fill up trucks. Along with it manual excavation was also ongoing. These activities were going on very close to the road bridge. 

Important point to note - the river here also roughly forms the border between the states of West Bengal and Assam","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_0867_50cc58ef-1f15-4da9-8735-352077640c8f.jpeg?generation=1690641951429451&alt=media","West Bengal","Cooch Behar","Sankosh","29-07-2023"
"Patna District - Sone River, 2017","N/A","02-03-2017 18:30:00","Serial Number,Latitude,Longitude
1,25.532245,84.773178
","Yes","Unsure of excavators. Trucks, tractors, boats","There are several long lines of trucks that I can see. And tractors with trailers full of sand. There are also huge boats full to the hilt with sand.

Have not been able to spot any excavators yet, but I'm pretty sure they're there. This seems like a HUGE operation.","N/A","Bihar","Patna","Sone","10-08-2023"
"Rehutan - Banda, Ken River, 2017","N/A","18-06-2017 18:30:00","Serial Number,Latitude,Longitude
1,25.704834,80.368390
","Yes","Extractors - JCBs and lots of trucks","There were over 50 workers along with JCBs and lots of trucks at this location. The mining pits were quite deep and farmers who cultivate vegetables on the sand banks were complaining about loss of water and also the fear of eviction.","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_20170618_081614_aa377661-5444-46d2-84ff-eb4f28be83c3.jpeg?generation=1695738692539534&alt=media","Uttar Pradesh","Banda","Ken","26-09-2023"
"Hateti Purva - Banda, Ken River, 2017","N/A","24-06-2017 18:30:00","Serial Number,Latitude,Longitude
1,25.427121,80.29581
","Yes","Multiple poclain machines (extractors), tractor trollies and trucks.","Mounds of sand collected in the middle of the river with many poclain machines around that were extracting the sand. A line of tractor trollies and trucks were seen at the location.","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fdsc_6388_055d205e-acbb-4a1c-bcb3-c440bbd91195.jpeg?generation=1695741180403468&alt=media","Uttar Pradesh","Banda","Ken","26-09-2023"
"Akbarpur Girwan - Banda, Ken River, 2017","N/A","15-10-2017 18:30:00","Serial Number,Latitude,Longitude
1,25.271699713915016,80.35770589951008
","Yes","NA","We observed a large sand mining operation about to start at this location on 15th October 2017. There were at least 100 large trucks lined up for sand collection.

Soon after, the sand mining activity started and a huge sand bank vanished from the river in subsequent years. Change from just within a year after observation is shown via images below.","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fag_2017_220a47dd-bbe0-4688-b725-2f92d99fadb5.jpeg?generation=1695742134377929&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fag_2018_4bfe78f7-5311-4a74-99bd-c7fa3b46cbfb.jpeg?generation=1695742135160181&alt=media","Uttar Pradesh","Banda","Ken","26-09-2023"
"Chambal - MP/Morena/Bharra - February 2023","N/A","13-02-2023 18:30:00","Serial Number,Latitude,Longitude
1,26.402921,77.447971
","Yes","Front End Loader Tractor, Tractor Trolley","Illegal sand mining in the Chambal River, National Chambal Sanctuary, near Bharra Village, Morena District, Madhya Pradesh","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_3015_copy_b932332a-524d-49fa-82e7-f1629d6364eb.jpeg?generation=1705055514645713&alt=media","Madhya Pradesh","Morena","Chambal","13-01-2024"
"Chambal - MP/Morena/Batesra - February 2023","N/A","12-02-2023 18:30:00","Serial Number,Latitude,Longitude
1,26.361257,77.422959
","Yes","Tractor Trolley","Illegal sand mining in the Chambal River, National Chambal Sanctuary, near Batesra Village, Morena District, Madhya Pradesh","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_2977_copy_1f7df5ed-ea99-4977-a934-ff2b577bd4fa.jpeg?generation=1705054670262497&alt=media","Madhya Pradesh","Morena","Chambal","13-01-2024"
"Chambal - MP/Morena/Sair ka Pura - February 2023","N/A","12-02-2023 18:30:00","Serial Number,Latitude,Longitude
1,26.358539,77.395728
","Yes","Tractor Trolley","Illegal sand mining in the Chambal River, National Chambal Sanctuary, near Sair ka Pura Village, Morena District, Madhya Pradesh","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_2945_copy_c5987be2-170d-4204-b4c5-a957bfe15da7.jpeg?generation=1705054487828567&alt=media","Madhya Pradesh","Morena","Chambal","13-01-2024"
"Chambal - MP/Morena/Barwasin-Kitauri - February 2023","N/A","14-02-2023 18:30:00","Serial Number,Latitude,Longitude
1,26.608492,77.847149
","Yes","Backhoe Loader, Front End Loader Tractor, Tractor Trolley","Illegal sand mining in the Chambal River, National Chambal Sanctuary, near Barwasin-Kitauri Villages, Morena District, Madhya Pradesh","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_3243_copy_9044245f-f68a-402a-89df-ce30bb1f6de8.jpeg?generation=1705057928564634&alt=media","Madhya Pradesh","Morena","Chambal","13-01-2024"
"Chambal - RJ/Dhaulpur/Pali","N/A","13-02-2023 18:30:00","Serial Number,Latitude,Longitude
1,26.418090,77.545033
","Yes","Tractor Trolley, Boat","Illegal sand mining in the Chambal River, National Chambal Sanctuary, Pali Village, Dhaulpur District, Rajasthan. In addition to tractor-trolleys operating in Rajasthan, several (25+) boats ferry sand across to Horabarha ghat in Madhya Pradesh. ","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_3086_copy_8bcb4aef-a29c-49ae-ba18-000b96746453.jpeg?generation=1705055653653493&alt=media","Rajasthan","Dhaulpur","Chambal","13-01-2024"
"Bacchera Khera - Chattarpur, Ken River, 2017","N/A","17-10-2017 18:30:00","Serial Number,Latitude,Longitude
1,25.166259,80.420791
","Yes","We observed some pumps being used, lowered via a boat to extract sand from the river bed.","The sand bank on the left side of the river was full of tracks from trucks / tractor trailers. We got to know that in the absence of any employment opportunities (the village here wasn't even electrified), villagers would rent out their tractors for sand mining. A bit upstream we did see more tractors on the river bank, though things were quiet when we were there.

The sand bank on the left bank has since vanished due to sand mining, and this change can be seen in imagery from subsequent years. Co-ordinates: 25.166259, 80.420791

","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_9405_58a46182-999b-49b6-8e96-3c6cef898118.jpeg?generation=1696155174858399&alt=media","Madhya Pradesh","Chhatarpur","Ken","01-10-2023"
"Village Mandawar - Shamli District, Yamuna River, 2023","N/A","16-10-2023 18:30:00","Serial Number,Latitude,Longitude
1,29.451804,77.140333
","Yes","Trucks and Poclain Machines","Information sourced via local sources on rampant sand mining taking place night and day. There have been past instances of mining being stopped in this location because of illegality.


It has been marked in Muzaffarnagar as per old Census data available on the platform. Actual district as per current data is Shamli.


News about this location - 
https://www.insaafnewstoday.com/2023/10/blog-post_32.html","N/A","Uttar Pradesh","Muzaffarnagar","yamuna","29-02-2024"
"Bhalkhajan - North Goa, Terekhol River, 2023","N/A","22-10-2023 18:30:00","Serial Number,Latitude,Longitude
1,15.721386,73.733310
","No","N/A","No machines observed at the time of the observation (afternoon). Though there were clearly signs of sand mining in the area, with a lot of boats on the river and some trucks moving up and down.","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fwhatsapp_image_2023_11_01_at_6_eba20c9e-05a0-46eb-bb6d-527112916512.jpeg?generation=1698844375653663&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fwhatsapp_image_2023_11_01_at_6_eb2f3836-614e-46b1-8c25-527e6df2fc68.jpeg?generation=1698844376485062&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fwhatsapp_image_2023_11_01_at_6_f88d7d72-17f9-48d4-95ab-4d42ad086b5e.jpeg?generation=1698844377101407&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fwhatsapp_image_2023_11_01_at_6_a6e97fb9-8c23-403b-8612-5d4ebb9dd09b.jpeg?generation=1698844377767262&alt=media","Goa","North Goa","Terekhol ","01-11-2023"
"Chambal sand mining - Morena, Madhya Pradesh - 14 Jan 2012","N/A","14-01-2012 18:30:00","Serial Number,Latitude,Longitude
1,26.65406,77.90158
","Yes","JCB, tractors","Rajghat, upstream site of bridge, in National Chambal Sanctuary","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fcimg0047_cc519000-f367-4ed7-8235-e44301fa9d55.jpeg?generation=1705040864319251&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fcimg0048_2b307de2-77c7-4d2d-ad02-7f36455c43f1.jpeg?generation=1705040864814057&alt=media","Madhya Pradesh","Morena","Chambal","13-01-2024"
"Chambal sand mining: 13 Jan 2012","N/A","13-01-2012 18:30:00","Serial Number,Latitude,Longitude
1,26.66455,77.9504
","Yes","tractors","on Rajasthan side of Chambal railway bridge in Dholpur","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fcimg0019_65497821-65d7-4821-aef9-24b58a39fb1d.jpeg?generation=1705041110501640&alt=media","Rajasthan","Dhaulpur","Chambal","13-01-2024"
"Chambal - MP/Morena/Barotha - 2023","N/A","11-02-2023 18:30:00","Serial Number,Latitude,Longitude
1,26.230972,77.143682
","Yes","Backhoe Loader, Tractor Trolley","Illegal sand mining in the Chambal River, National Chambal Sanctuary, MP","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_2806_copy_a4a8d731-5a2e-42dd-a8e8-ad98217329d0.jpeg?generation=1705048554486361&alt=media","Madhya Pradesh","Morena","Chambal","13-01-2024"
"Chambal - RJ/Dhaulpur/Durgasi - February 2023","N/A","12-02-2023 18:30:00","Serial Number,Latitude,Longitude
1,26.358585,77.392398
","Yes","Tractor Trolley","Illegal sand mining in the Chambal River, National Chambal Sanctuary, near Durgasi Village, Dhaulpur District, Rajasthan","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_2932_copy_3355e3ee-3097-4e04-b64c-5e08824933d2.jpeg?generation=1705052735816974&alt=media","Rajasthan","Dhaulpur","Chambal","13-01-2024"
"Chambal - MP/Morena/Bhanpur","N/A","14-02-2023 18:30:00","Serial Number,Latitude,Longitude
1,26.658222,77.907204
","Yes","Backhoe Loader, Tractor Trolley","Illegal sand mining in the Chambal River, National Chambal Sanctuary, at the base of the new NH-44 bridge, near Bhanpur Village (Rajghat), Morena District, Madhya Pradesh","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_3307_copy_de874c1a-d555-4f04-acad-f329f1d51467.jpeg?generation=1705059667390842&alt=media","Madhya Pradesh","Morena","Chambal","13-01-2024"
"Chambal - RJ/Dhaulpur/Gher - February 2023","N/A","14-02-2023 18:30:00","Serial Number,Latitude,Longitude
1,26.660192,77.950878
","Yes","Tractor Trolley","Illegal sand mining in the Chambal River, National Chambal Sanctuary, at the base of the Agra-Gwalior rail bridge, near Gher Village, Dhaulpur District, Rajasthan","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_3315_copy_5de44e77-559e-46c0-8748-44ac1d805dc7.jpeg?generation=1705060118542376&alt=media","Rajasthan","Dhaulpur","Chambal","13-01-2024"
"Chambal - MP/Morena/Gorkha - February 2023","N/A","14-02-2023 18:30:00","Serial Number,Latitude,Longitude
1,26.663009,77.966385
","Yes","Backhoe Loader, Tractor Trolley","Illegal sand mining in the Chambal River, National Chambal Sanctuary, near Gorkha Village, Morena District, Madhya Pradesh","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_3318_copy_186157d1-9b39-4d6a-a627-3a434ad0e590.jpeg?generation=1705061175649500&alt=media","Madhya Pradesh","Morena","Chambal","13-01-2024"
"Chambal - RJ/Dhaulpur/Kathumra - February 2023","N/A","14-02-2023 18:30:00","Serial Number,Latitude,Longitude
1,26.683609,78.093335
","Yes","Tractor Trolley","Illegal sand mining in the Chambal River, National Chambal Sanctuary, Kathumra Village, Dhaulpur District, Rajasthan.","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_3381_copy_54c90ae2-c984-4a34-ba2b-c8835dd2b8f1.jpeg?generation=1705062314802800&alt=media","Rajasthan","Dhaulpur","Chambal","13-01-2024"
"Parbati - MP/Sheopur/Rundi - January 2024","N/A","03-01-2024 18:30:00","Serial Number,Latitude,Longitude
1,25.526994,76.518179
","Yes","Tractor Trolley","Illegal sand mining in the Parbati River, National Chambal Sanctuary, near Rundi Village, Sheopur District, Madhya Pradesh","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_3584_copy_8d431ab5-6b42-4029-8d51-32aab0d2fae0.jpeg?generation=1705140561405262&alt=media","Madhya Pradesh","Sheopur","Parbati","13-01-2024"
"Sand mining on Chambal near Railway Bridge - 23/12/2023","No","23-12-2023 18:30:00","Serial Number,Latitude,Longitude
1,26.660322,77.949228
","Yes","tractor","Tractor mining on both Rajasthan and Madhya Pradesh side just before the Railway bridge from Rajghat ","N/A","Madhya Pradesh","Morena","Chambal","13-05-2025"
"Parbati - MP/Sheopur/Rundi - January 2024","N/A","03-01-2024 18:30:00","Serial Number,Latitude,Longitude
1,25.536358,76.518743
","Yes","Tractor Trolley","Illegal sand mining in the Parbati River, National Chambal Sanctuary, near Rundi Village, Sheopur District, Madhya Pradesh","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_3591_copy_87fdb31b-db04-4999-8ce0-9ef4b8186866.jpeg?generation=1705141280233239&alt=media","Madhya Pradesh","Sheopur","Parbati (Chambal)","13-01-2024"
"Parbati - RJ/Baran/Bhaogarh - 2023/12","N/A","31-12-2023 18:30:00","Serial Number,Latitude,Longitude
1,25.435959,76.581781
","Yes","Boat w/ dredge pump","Illegal sand mining in the Parbati River, near Bhaogarh Village, Baran District, Rajasthan","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_3558_copy_644a9a25-1aa4-4e81-a547-1873213f3ee7.jpeg?generation=1705142733201413&alt=media","Rajasthan","Baran","Parbati (Chambal)","13-01-2024"
"Parbati - MP/Sheopur/Jalalpura - 2024/01/05","N/A","05-01-2024 18:30:00","Serial Number,Latitude,Longitude
1,25.709157,76.474932
","Yes","Tractor Trolley","Illegal sand mining in the Parbati River, National Chambal Sanctuary, near Jalalpura Village, Sheopur District, Madhya Pradesh","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_3604_copy_352d350e-03c8-4533-ab7f-8b2490443ef5.jpeg?generation=1705147055591776&alt=media","Madhya Pradesh","Sheopur","Parbati (Chambal)","13-01-2024"
"River Sindh - Seondha District - 24.01.2022","N/A","24-01-2022 18:30:00","Serial Number,Latitude,Longitude
1, 26.161266, 78.760793
","Yes","Tractors","Location is quite close to Sankua Dham, Seondha (around 1 to 1.5 kms from Sankua)

May not be exact point - but around same spot (we took photos on the move walking to cause less suspicion)

We saw heaps of sand, People with ploughs filling sand in 'tagara'/metal container to the tractors, and Tractors moving

One driver of a tractor stopped and asked us who we were and where we were going

Before this point, we were asked by locals to not take this route along the river, as it may be unsafe


- Jara is nearby site as per Datia DSR, 2022","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fp_20220124_111046_433b0667-738f-4de1-bcb3-d032aac8c32e.jpeg?generation=1705386749647776&alt=media","Madhya Pradesh","Datia","Sindh","16-01-2024"
"River Sindh, Ludhari/Gwalior/Madhya Pradesh, 30.01.2022","N/A","30-01-2022 18:30:00","Serial Number,Latitude,Longitude
1, 25.738613, 78.202066
","Yes","Diesel pump","- Mining was not happening on date of observation, but mining equipment seen on the site.

- Observed an old 'pandupi' (diesel pump used to pump sand from river bed) - did not see it functional

- Can see many sand lines in April 2020 and October 2021 Google maps, which could be where 'pandupi' might have been functional - Can see more such in slightly upstream","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fp_20220130_165555_0e6583d1-cc7b-4fae-b7eb-b4bc75add979.jpeg?generation=1705389912438669&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fp_20220130_165132_24ea2d43-b224-4946-80cb-2a1ee17406cb.jpeg?generation=1705389914236427&alt=media","Madhya Pradesh","Gwalior","Sindh","16-01-2024"
